"jurisdiction","week_of_allocations","_1st_dose_allocations","_2nd_dose_allocations"
"Connecticut","2021-05-03T00:00:00.000","40400","40400"
"Maine","2021-05-03T00:00:00.000","15400","15400"
"Massachusetts","2021-05-03T00:00:00.000","77700","77700"
"New Hampshire","2021-05-03T00:00:00.000","15500","15500"
"Rhode Island","2021-05-03T00:00:00.000","12100","12100"
"Vermont","2021-05-03T00:00:00.000","7300","7300"
"New Jersey","2021-05-03T00:00:00.000","98500","98500"
"New York","2021-05-03T00:00:00.000","125400","125400"
"New York City","2021-05-03T00:00:00.000","95200","95200"
"Puerto Rico","2021-05-03T00:00:00.000","38500","38500"
"U.S. Virgin Islands","2021-05-03T00:00:00.000","1200","1200"
"Delaware","2021-05-03T00:00:00.000","10700","10700"
"District of Columbia","2021-05-03T00:00:00.000","8100","8100"
"Maryland","2021-05-03T00:00:00.000","66500","66500"
"Pennsylvania","2021-05-03T00:00:00.000","126700","126700"
"Philadelphia","2021-05-03T00:00:00.000","17600","17600"
"Virginia","2021-05-03T00:00:00.000","93300","93300"
"West Virginia","2021-05-03T00:00:00.000","20800","20800"
"Alabama","2021-05-03T00:00:00.000","53700","53700"
"Florida","2021-05-03T00:00:00.000","234500","234500"
"Georgia","2021-05-03T00:00:00.000","111100","111100"
"Kentucky","2021-05-03T00:00:00.000","48900","48900"
"Mississippi","2021-05-03T00:00:00.000","32400","32400"
"North Carolina","2021-05-03T00:00:00.000","112100","112100"
"South Carolina","2021-05-03T00:00:00.000","55000","55000"
"Tennessee","2021-05-03T00:00:00.000","73400","73400"
"Chicago","2021-05-03T00:00:00.000","29900","29900"
"Illinois","2021-05-03T00:00:00.000","111300","111300"
"Indiana","2021-05-03T00:00:00.000","72200","72200"
"Michigan","2021-05-03T00:00:00.000","110600","110600"
"Minnesota","2021-05-03T00:00:00.000","60600","60600"
"Ohio","2021-05-03T00:00:00.000","128600","128600"
"Wisconsin","2021-05-03T00:00:00.000","64400","64400"
"Arkansas","2021-05-03T00:00:00.000","32600","32600"
"Louisiana","2021-05-03T00:00:00.000","50700","50700"
"New Mexico","2021-05-03T00:00:00.000","23100","23100"
"Oklahoma","2021-05-03T00:00:00.000","42200","42200"
"Texas","2021-05-03T00:00:00.000","293500","293500"
"Iowa","2021-05-03T00:00:00.000","34300","34300"
"Kansas","2021-05-03T00:00:00.000","31300","31300"
"Missouri","2021-05-03T00:00:00.000","67100","67100"
"Nebraska","2021-05-03T00:00:00.000","20700","20700"
"Colorado","2021-05-03T00:00:00.000","60900","60900"
"Montana","2021-05-03T00:00:00.000","11700","11700"
"North Dakota","2021-05-03T00:00:00.000","8500","8500"
"South Dakota","2021-05-03T00:00:00.000","9300","9300"
"Utah","2021-05-03T00:00:00.000","30500","30500"
"Wyoming","2021-05-03T00:00:00.000","6400","6400"
"Arizona","2021-05-03T00:00:00.000","76200","76200"
