"jurisdiction","week_of_allocations","_1st_dose_allocations","_2nd_dose_allocations"
"Connecticut","2021-03-01T00:00:00.000","42120","42120"
"Maine","2021-03-01T00:00:00.000","16380","16380"
"Massachusetts","2021-03-01T00:00:00.000","79560","79560"
"New Hampshire","2021-03-01T00:00:00.000","16380","16380"
"Rhode Island","2021-03-01T00:00:00.000","12870","12870"
"Vermont","2021-03-01T00:00:00.000","8190","8190"
"New Jersey","2021-03-01T00:00:00.000","101790","101790"
"New York","2021-03-01T00:00:00.000","128700","128700"
"New York City","2021-03-01T00:00:00.000","98280","98280"
"Puerto Rico","2021-03-01T00:00:00.000","39780","39780"
"U.S. Virgin Islands","2021-03-01T00:00:00.000","2340","2340"
"Delaware","2021-03-01T00:00:00.000","11700","11700"
"District of Columbia","2021-03-01T00:00:00.000","9360","9360"
"Maryland","2021-03-01T00:00:00.000","69030","69030"
"Pennsylvania","2021-03-01T00:00:00.000","129870","129870"
"Philadelphia","2021-03-01T00:00:00.000","18720","18720"
"Virginia","2021-03-01T00:00:00.000","95940","95940"
"West Virginia","2021-03-01T00:00:00.000","22230","22230"
"Alabama","2021-03-01T00:00:00.000","54990","54990"
"Florida","2021-03-01T00:00:00.000","239850","239850"
"Georgia","2021-03-01T00:00:00.000","114660","114660"
"Kentucky","2021-03-01T00:00:00.000","50310","50310"
"Mississippi","2021-03-01T00:00:00.000","33930","33930"
"North Carolina","2021-03-01T00:00:00.000","115830","115830"
"South Carolina","2021-03-01T00:00:00.000","57330","57330"
"Tennessee","2021-03-01T00:00:00.000","76050","76050"
"Chicago","2021-03-01T00:00:00.000","31590","31590"
"Illinois","2021-03-01T00:00:00.000","114660","114660"
"Indiana","2021-03-01T00:00:00.000","74880","74880"
"Michigan","2021-03-01T00:00:00.000","113490","113490"
"Minnesota***","2021-03-01T00:00:00.000","62010","62010"
"Ohio","2021-03-01T00:00:00.000","132210","132210"
"Wisconsin***","2021-03-01T00:00:00.000","66690","66690"
"Arkansas","2021-03-01T00:00:00.000","33930","33930"
"Louisiana","2021-03-01T00:00:00.000","52650","52650"
"New Mexico***","2021-03-01T00:00:00.000","24570","24570"
"Oklahoma","2021-03-01T00:00:00.000","43290","43290"
"Texas","2021-03-01T00:00:00.000","300690","300690"
"Iowa","2021-03-01T00:00:00.000","35100","35100"
"Kansas","2021-03-01T00:00:00.000","32760","32760"
"Missouri","2021-03-01T00:00:00.000","69030","69030"
"Nebraska***","2021-03-01T00:00:00.000","22230","22230"
"Colorado","2021-03-01T00:00:00.000","63180","63180"
"Montana","2021-03-01T00:00:00.000","12870","12870"
"North Dakota***","2021-03-01T00:00:00.000","9360","9360"
"South Dakota","2021-03-01T00:00:00.000","10530","10530"
"Utah***","2021-03-01T00:00:00.000","31590","31590"
"Wyoming","2021-03-01T00:00:00.000","7020","7020"
"Arizona***","2021-03-01T00:00:00.000","78390","78390"
"California","2021-03-01T00:00:00.000","438750","438750"
"Hawaii","2021-03-01T00:00:00.000","16380","16380"
"Nevada","2021-03-01T00:00:00.000","33930","33930"
"American Samoa**","2021-03-01T00:00:00.000","9360","0"
"Guam**","2021-03-01T00:00:00.000","21060","0"
"Marshall Islands*","2021-03-01T00:00:00.000","0","0"
"Micronesia*","2021-03-01T00:00:00.000","0","0"
"Mariana Islands**","2021-03-01T00:00:00.000","9360","0"
"Palau*","2021-03-01T00:00:00.000","0","0"
"Alaska***","2021-03-01T00:00:00.000","53820","53820"
"Idaho","2021-03-01T00:00:00.000","18720","18720"
"Oregon***","2021-03-01T00:00:00.000","47970","47970"
"Washington***","2021-03-01T00:00:00.000","84240","84240"
"Federal Entities ****","2021-03-01T00:00:00.000","209430","190710"
"Connecticut","2021-02-22T00:00:00.000","36270","36270"
"Maine","2021-02-22T00:00:00.000","14040","14040"
"Massachusetts","2021-02-22T00:00:00.000","70200","70200"
"New Hampshire","2021-02-22T00:00:00.000","14040","14040"
"Rhode Island","2021-02-22T00:00:00.000","11700","11700"
"Vermont","2021-02-22T00:00:00.000","7020","7020"
"New Jersey","2021-02-22T00:00:00.000","88920","88920"
"New York","2021-02-22T00:00:00.000","112320","112320"
"New York City","2021-02-22T00:00:00.000","85410","85410"
"Puerto Rico","2021-02-22T00:00:00.000","35100","35100"
"U.S. Virgin Islands","2021-02-22T00:00:00.000","1170","1170"
"Delaware","2021-02-22T00:00:00.000","10530","10530"
"District of Columbia","2021-02-22T00:00:00.000","8190","8190"
"Maryland","2021-02-22T00:00:00.000","59670","59670"
"Pennsylvania","2021-02-22T00:00:00.000","113490","113490"
"Philadelphia","2021-02-22T00:00:00.000","16380","16380"
"Virginia","2021-02-22T00:00:00.000","84240","84240"
"West Virginia","2021-02-22T00:00:00.000","18720","18720"
"Alabama","2021-02-22T00:00:00.000","47970","47970"
"Florida","2021-02-22T00:00:00.000","209430","209430"
"Georgia","2021-02-22T00:00:00.000","99450","99450"
"Kentucky","2021-02-22T00:00:00.000","44460","44460"
"Mississippi","2021-02-22T00:00:00.000","29250","29250"
"North Carolina","2021-02-22T00:00:00.000","100620","100620"
"South Carolina","2021-02-22T00:00:00.000","49140","49140"
"Tennessee","2021-02-22T00:00:00.000","65520","65520"
"Chicago","2021-02-22T00:00:00.000","26910","26910"
"Illinois","2021-02-22T00:00:00.000","99450","99450"
"Indiana","2021-02-22T00:00:00.000","64350","64350"
"Michigan","2021-02-22T00:00:00.000","99450","99450"
"Minnesota***","2021-02-22T00:00:00.000","54990","54990"
"Ohio","2021-02-22T00:00:00.000","115830","115830"
"Wisconsin***","2021-02-22T00:00:00.000","58500","58500"
"Arkansas","2021-02-22T00:00:00.000","29250","29250"
"Louisiana","2021-02-22T00:00:00.000","45630","45630"
"New Mexico***","2021-02-22T00:00:00.000","21060","21060"
"Oklahoma","2021-02-22T00:00:00.000","38610","38610"
"Texas","2021-02-22T00:00:00.000","262080","262080"
"Iowa","2021-02-22T00:00:00.000","31590","31590"
"Kansas","2021-02-22T00:00:00.000","28080","28080"
"Missouri","2021-02-22T00:00:00.000","60840","60840"
"Nebraska***","2021-02-22T00:00:00.000","18720","18720"
"Colorado","2021-02-22T00:00:00.000","54990","54990"
"Montana","2021-02-22T00:00:00.000","10530","10530"
"North Dakota***","2021-02-22T00:00:00.000","8190","8190"
"South Dakota","2021-02-22T00:00:00.000","9360","9360"
"Utah***","2021-02-22T00:00:00.000","28080","28080"
"Wyoming","2021-02-22T00:00:00.000","5850","5850"
"Arizona***","2021-02-22T00:00:00.000","69030","69030"
"California","2021-02-22T00:00:00.000","382590","382590"
"Hawaii","2021-02-22T00:00:00.000","15210","15210"
"Nevada","2021-02-22T00:00:00.000","29250","29250"
"American Samoa**","2021-02-22T00:00:00.000","0","0"
"Guam**","2021-02-22T00:00:00.000","0","0"
"Marshall Islands*","2021-02-22T00:00:00.000","0","0"
"Micronesia*","2021-02-22T00:00:00.000","0","0"
"Mariana Islands**","2021-02-22T00:00:00.000","0","0"
"Palau*","2021-02-22T00:00:00.000","0","0"
"Alaska***","2021-02-22T00:00:00.000","0","0"
"Idaho","2021-02-22T00:00:00.000","16380","16380"
"Oregon***","2021-02-22T00:00:00.000","42120","42120"
"Washington***","2021-02-22T00:00:00.000","73710","73710"
"Federal Entities ****","2021-02-22T00:00:00.000","166140","166140"
"Connecticut","2021-02-15T00:00:00.000","23400","23400"
"Maine","2021-02-15T00:00:00.000","8775","8775"
"Massachusetts","2021-02-15T00:00:00.000","43875","43875"
"New Hampshire","2021-02-15T00:00:00.000","8775","8775"
"Rhode Island","2021-02-15T00:00:00.000","6825","6825"
"Vermont","2021-02-15T00:00:00.000","4875","4875"
"New Jersey","2021-02-15T00:00:00.000","55575","55575"
"New York","2021-02-15T00:00:00.000","71175","71175"
"New York City","2021-02-15T00:00:00.000","53625","53625"
"Puerto Rico","2021-02-15T00:00:00.000","22425","22425"
"U.S. Virgin Islands","2021-02-15T00:00:00.000","975","975"
"Delaware","2021-02-15T00:00:00.000","6825","6825"
"District of Columbia","2021-02-15T00:00:00.000","4875","4875"
"Maryland","2021-02-15T00:00:00.000","38025","38025"
"Pennsylvania","2021-02-15T00:00:00.000","71175","71175"
"Philadelphia","2021-02-15T00:00:00.000","10725","10725"
"Virginia","2021-02-15T00:00:00.000","52650","52650"
"West Virginia","2021-02-15T00:00:00.000","11700","11700"
"Alabama","2021-02-15T00:00:00.000","30225","30225"
"Florida","2021-02-15T00:00:00.000","132600","132600"
"Georgia","2021-02-15T00:00:00.000","63375","63375"
"Kentucky","2021-02-15T00:00:00.000","28275","28275"
"Mississippi","2021-02-15T00:00:00.000","18525","18525"
"North Carolina","2021-02-15T00:00:00.000","63375","63375"
"South Carolina","2021-02-15T00:00:00.000","31200","31200"
"Tennessee","2021-02-15T00:00:00.000","41925","41925"
"Chicago","2021-02-15T00:00:00.000","17550","17550"
"Illinois","2021-02-15T00:00:00.000","63375","63375"
"Indiana","2021-02-15T00:00:00.000","40950","40950"
"Michigan","2021-02-15T00:00:00.000","62400","62400"
"Minnesota***","2021-02-15T00:00:00.000","34125","34125"
"Ohio","2021-02-15T00:00:00.000","73125","73125"
"Wisconsin***","2021-02-15T00:00:00.000","37050","37050"
"Arkansas","2021-02-15T00:00:00.000","18525","18525"
"Louisiana","2021-02-15T00:00:00.000","29250","29250"
"New Mexico***","2021-02-15T00:00:00.000","13650","13650"
"Oklahoma","2021-02-15T00:00:00.000","24375","24375"
"Texas","2021-02-15T00:00:00.000","165750","165750"
"Iowa","2021-02-15T00:00:00.000","19500","19500"
"Kansas","2021-02-15T00:00:00.000","18525","18525"
"Missouri","2021-02-15T00:00:00.000","38025","38025"
"Nebraska***","2021-02-15T00:00:00.000","11700","11700"
"Colorado","2021-02-15T00:00:00.000","35100","35100"
"Montana","2021-02-15T00:00:00.000","6825","6825"
"North Dakota***","2021-02-15T00:00:00.000","4875","4875"
"South Dakota","2021-02-15T00:00:00.000","5850","5850"
"Utah***","2021-02-15T00:00:00.000","17550","17550"
"Wyoming","2021-02-15T00:00:00.000","3900","3900"
"Arizona***","2021-02-15T00:00:00.000","42900","42900"
"California","2021-02-15T00:00:00.000","241800","241800"
"Hawaii","2021-02-15T00:00:00.000","9750","9750"
"Nevada","2021-02-15T00:00:00.000","18525","18525"
"American Samoa**","2021-02-15T00:00:00.000","0","0"
"Guam**","2021-02-15T00:00:00.000","0","0"
"Marshall Islands*","2021-02-15T00:00:00.000","0","0"
"Micronesia*","2021-02-15T00:00:00.000","0","0"
"Mariana Islands**","2021-02-15T00:00:00.000","0","0"
"Palau*","2021-02-15T00:00:00.000","0","0"
"Alaska***","2021-02-15T00:00:00.000","0","0"
"Idaho","2021-02-15T00:00:00.000","10725","10725"
"Oregon***","2021-02-15T00:00:00.000","26325","26325"
